City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Cabedelo,BR,-6.9811,-34.8339,83.07,64,84,14.16,broken clouds
70,São José da Coroa Grande,BR,-8.8978,-35.1478,79.74,60,23,8.28,few clouds
71,Lorengau,PG,-2.0226,147.2712,80.94,79,83,7.47,broken clouds
72,Arraial do Cabo,BR,-22.9661,-42.0278,72.23,79,98,8.59,overcast clouds
73,Bāsār,IN,27.9833,94.6667,74.93,96,47,0.45,scattered clouds
74,Puerto Ayora,EC,-0.7393,-90.3518,72.55,80,90,7.0,overcast clouds
75,Zhengjiatun,CN,43.5064,123.5064,63.48,94,0,9.06,clear sky
76,Oktyabr'skiy,RU,54.4815,53.471,70.54,74,100,2.13,overcast clouds
77,Riva,US,38.9521,-76.578,97.48,62,44,3.0,scattered clouds
78,Amapá,BR,1.0,-52.0,92.23,37,70,4.94,broken clouds
79,Avarua,CK,-21.2078,-159.775,71.65,78,40,10.36,scattered clouds
80,Balkhash,KZ,46.844,74.9804,71.69,55,100,7.05,overcast clouds
81,Isangel,VU,-19.55,169.2667,72.3,87,62,12.21,broken clouds
82,Ixtapa,MX,20.7,-105.2,83.23,77,100,1.99,overcast clouds
83,Geraldton,AU,-28.7667,114.6,50.41,87,75,5.75,broken clouds
84,Raja,SS,8.4596,25.678,72.81,93,99,5.53,overcast clouds
85,Kailua,US,21.4022,-157.7394,78.49,82,79,4.0,broken clouds
86,Severo-Kuril'sk,RU,50.6789,156.125,55.04,97,100,20.0,light rain
87,Kitimat,CA,54.0524,-128.6534,65.91,55,7,3.33,clear sky
88,Lebu,CL,-37.6167,-73.65,52.47,61,100,8.05,overcast clouds
89,Beian,NO,63.6559,9.5683,61.0,94,75,6.91,light rain
90,Chui,UY,-33.6971,-53.4616,55.17,60,26,11.21,scattered clouds
91,Bahía Honda,CU,22.9036,-83.1592,86.11,66,100,11.74,moderate rain
92,Qaanaaq,GL,77.484,-69.3632,38.16,61,0,0.94,clear sky
93,Gazojak,TM,41.1875,61.4036,84.27,23,0,18.19,clear sky
94,Saint-Philippe,RE,-21.3585,55.7679,67.59,72,95,16.67,overcast clouds
95,Zinder,NE,13.8072,8.9881,94.37,30,19,2.84,few clouds
96,Luganville,VU,-15.5333,167.1667,75.76,89,61,5.37,broken clouds
97,Vetluzhskiy,RU,58.3902,45.4654,61.92,96,99,4.88,light rain
98,Tiksi,RU,71.6872,128.8694,53.33,75,57,12.12,broken clouds
99,San Ignacio,BZ,17.1561,-89.0714,84.33,70,100,4.92,overcast clouds
100,Stargard,PL,53.3367,15.0499,75.34,38,75,9.17,broken clouds
101,Hasaki,JP,35.7333,140.8333,82.8,88,100,25.05,overcast clouds
102,Tasiilaq,GL,65.6145,-37.6368,42.96,94,100,5.17,overcast clouds
