City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Porto Santo,PT,75.58,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
328,Chichigalpa,NI,89.98,broken clouds,12.5776,-87.027,La Vista - Hotel & Restaurante
330,San Cristobal,VE,86.18,scattered clouds,7.7669,-72.225,Pirineos
335,Arrondissement d'Ajaccio,FR,82.45,few clouds,42.0,8.9167,Sole E Monte
336,Chabahar,IR,82.9,scattered clouds,25.2919,60.643,هتل گدروشیا
338,Fare,PF,75.99,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
341,Luocheng,CN,76.71,overcast clouds,29.3848,104.0286,Luocheng Hotel
352,San Policarpo,PH,77.95,broken clouds,12.1791,125.5072,Agapita M. Nicart
353,Khāsh,IR,88.93,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
355,Severnyy,RU,75.24,clear sky,50.677,36.5532,Full House North Mini-Hotel
358,Banikoara,BJ,80.01,light rain,11.2985,2.4386,Hôtel de l'UCom CVPC
359,Dicabisagan,PH,79.11,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
361,Lindsay,US,89.01,clear sky,36.203,-119.0882,Lindsay Inn
364,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
368,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
369,Gelibolu,TR,87.66,clear sky,40.4103,26.6708,Oya Hotel
373,Bengbu,CN,79.05,overcast clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
376,Province of Mantua,IT,89.1,clear sky,45.1667,10.7833,Hotel la Favorita
377,São João da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
378,Benghazi,LY,83.19,clear sky,32.1167,20.0667,Tibesti Hotel
379,Shingū,JP,78.58,overcast clouds,33.7333,135.9833,Shingu UI Hotel
381,Columbus,US,86.34,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
382,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
389,Koupéla,BF,82.17,light rain,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
390,South Yuba City,US,87.17,clear sky,39.1166,-121.6391,Bonanza Inn & Suites Yuba City
391,Kanturk,IE,76.21,few clouds,52.1667,-8.9,Arigle Lodge
392,Rolla,US,76.51,light rain,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
396,Uvinza,TZ,75.15,clear sky,-5.1036,30.3911,Crown Lodge and lounge
